Subject,Body,Unnamed: 2,Unnamed: 3,subject_length,body_length,subject_word_count,body_word_count,subject_unique_word_count,body_unique_word_count,subject_special_char_count,body_special_char_count,subject_keyword_free,body_keyword_free,subject_keyword_win,body_keyword_win,subject_keyword_winner,body_keyword_winner,subject_keyword_prize,body_keyword_prize,subject_keyword_click_here,body_keyword_click_here,subject_keyword_limited_time,body_keyword_limited_time,subject_keyword_offer,body_keyword_offer,subject_keyword_buy_now,body_keyword_buy_now,subject_keyword_congratulations,body_keyword_congratulations,subject_keyword_urgent,body_keyword_urgent,subject_keyword_money,body_keyword_money,subject_keyword_cash,body_keyword_cash,subject_keyword_reward,body_keyword_reward,subject_keyword_claim,body_keyword_claim,subject_keyword_gift,body_keyword_gift
2023 update policy,microsoft hello quotanthtwouviccaquot account set suspension sequel previous notice ignored requesting rectify youre active user microsoft verify account nowhttplinksinfosclubmedcomcttm17415468rlty4ndqwmdaymjys1b0jmje3mzy0njq4mws2kpreheaderkx1kt12kdhttpsbafkreigjrqowq6gjzqo2zew5f24x7qe7f45ydybhknguoqfaq27okicqsqipfsdweblinkanthtwouvicca 2023 microsoft right reserved,,,18,368,3,23,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urgent payment failure action required within 72 hours,view email web page go herehttpsviews13exacttargetcomqsc1fced0f8e7cce127ce37b3f7bc857a7e7e054e2ddc42535354cecd052b913cd8dbcc2b7da0950008285ee7fc17865c6d0759e2b8e2040ac9c7fe36aa435454b https1000logosnetwpcontentuploads202307telstralogo2019png autopay payment unsuccessful dear valued costumer sending message inform unable process payment last owing bill attempts made take paymentto fix problem avoid late feesyou need sign update credit card account access accounthttpscls13exctnetqsbb235732becd0f0fdf765e66a7fd0c89c1b45164a7e8f6a1fef61aa87157f39aed55894e08489884cdb5605ec9a91709 kind regards telstra team facebookhttpscls13exctnetqsbb235732becd0f0f675b8ecfad578d55ec9e2f18b89b040342aacfe3bac43c238d644fb13cc2c9a8659ab74e9ebb665d twitterhttpscls13exctnetqsbb235732becd0f0f5b98c6c42c43e1aa1ad511d17d7800a1957727402556098672387571189f4ffd1839d3492a61aa3a pinterest instagramhttpscls13exctnetqsbb235732becd0f0f49751b682f28c2e064529c762a28d4339d1d1e24055b3bc0c23aea7c2dcdc10d78e73000d2723687 privacy terms telstra sites help infotelstracomauhttpscls13exctnetqsbb235732becd0f0f882f248c4b0ce178deb72d2ef2a731a20c743e450886b537a65f019b9eba0540a4c5effaf487a847 00 44 800 856 0000httpscls13exctnetqsbb235732becd0f0f424ba7a0de09c83778bce9fcb41a1c930aa0e1b56e4ed8f10212e888693525b9a26640007c68be08 email sent helpdeskuvicca email sent era clothing 1043 raymond boulevard newark nj 07102 us respect right privacy view policyhttpscls13exctnetqsbb235732becd0f0fe8a27c3e31bd2c2681aa268375ae80fcc203eac4ac254ee968e2c750a88eb1738de581a1a725d2ce httpswwwexacttargetcomimagespowered_by_1206jpg manage subscriptionshttpscls13exctnetsubscription_centeraspxqs2fea8baf767d56b2545f7b39adb4d799e7cfec0e2d49b4624a839f4fc7875a0e14453d8bb0de0241afb17680c43903bbbf122f1981ba6533 update profilehttpscls13exctnetprofile_centeraspxqs2fea8baf767d56b2d05320f53cce54c4a89def13e92ee9d6ce476a73d7daf3d0a6cfed304bdf64ac215f53423870c534f86f82d27f1ebf26 unsubscribehttpscls13exctnetunsub_centeraspxqs2fea8baf767d56b2545f7b39adb4d799e7cfec0e2d49b4624a839f4fc7875a0ecde16948f5d575da8a1bdc5900cdf0c748dddddf28d9edb2,,,54,2073,8,83,8,75,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
preview update required,notice message sent outside university victoria email system please cautious links sensitive information votre réponse bien été prise en compte httpswwwedigitalagencycomauwpcontentuploadsnetflixlogoredblackpngpng υоur ассоunt іѕ оn hоld ǃ dеаr vаluеd сuѕtоmеr wеrе ѕоrrу tо lеt уоu knоw thаt уоur ассоunt іѕ оn hоld bесаuѕе νеtflіх соuldnt рrосеѕѕ уоur rесеnt рауmеnt fоr уоur ассоunt рlеаѕе рrосееd thе uрdаtе uѕіng thе lіnk bеlоw ѕubmіthttpsfrestedltacemlnccomprodlinktrackerredirecturlahr0chmlm0elmkylmkzzag9ydhvybc5hdcuyrmrmvlkzsigar2fvhn6apn7egpnoz27ga5hvqvgfkilcyncnqcpprrxiat1703013737a7c7c10030708287c7caccountfrested2eactivehosted2ecomemailrbyvour1mbxre8egzezmwvyelvvikoaw30vanh1v3aj5d1hgn1bz6uq2fkvtglpgijpf1n2b3yprs93149835bcb15946821bbacb1bd48ce5i4a12a4a14 υоu саn rеtrу thе ѕаmе рауmеnt mеthоd bу rееntеrіng уоur ехіѕtіng ассоunt іnfоrmаtіоn оr уоu саn trу а dіffеrеnt рауmеnt орtіоn νеtflіх wіll аlѕо аutоmаtісаllу rеtrу fаіlеd рауmеntѕ реrіоdісаllу оvеr thе соurѕе оf уоur bіllіng сусlе tо hеlр уоu gеt bасk tо еnјоуіng thе ѕеrvісе соруrіght 19972023 νеtflіх іnс аll rіghtѕ rеѕеrvеd envoyé à ctrippuvicca se désabonnerhttpfrestedactivehostedcomprocphpnl4c4m12s93149835bcb15946821bbacb1bd48ce5actunsub mbc 6 rue léon patoux 51100 reims france,,,23,1256,3,126,3,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confirmation thank order _43591,notice message sent outside university victoria email system please cautious links sensitive information dear customer subject confirmation thank order would like notify via email payment 63399 usd processed compliance terms user agreement monthly payments issued beginning december 19 2023 want cancel order make refund contact help desk 431 804 3136977 details attached automated payment payment transaction id l4r694re payment amount 63399 usd payment date 19dec2023 details automatic payment profile id 7ru43591j8 amount per cycle 63399usd period billing monthly payments begin 19dec2023 changed mind option cancel order unable make adjustments questions refunds would like cancel transaction please contact help line 431 804 3136977 regards norton lifelock llc please reply email 24 hours date transaction open dispute resolution centre services provided norton lifelock llc cin n43591nr2023kei50214 users advised read terms conditions carefully,,,31,950,4,130,4,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stay connected renew subscription,notice message sent outside university victoria email system please cautious links sensitive information tax invoice intuit quickbooks dear fgsscholuvicca delighted notify annual subscription business essential plan successfully renewed updated charged amount accurately displayed account statement within timeframe 24 48 hours authorized transaction kindly request promptly reach us 431 855 6134978 user id fgsscholuvicca order 6456w54107 start date december 19 2023 end date december 18 2024 product details description tenure qty amount business essential premier plan 1years 1 34900 tax 3586 total 38486 payment 38486 issues transaction subscription autorenew every 1 year unless turn later 24 hours end subscription period cancel subscription please contact customer service 431 855 6134978,,,33,795,4,108,4,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
uvicca new account,notice message sent outside university victoria email system please cautious links sensitive information httpsuvicagencyanalyticsappapiapipubliclogoaccount_id249693 youre invited invited setup account uvicca complete account activation clicking link finishing registration able set password details accept invitehttpsclickpstmrkit3suvicagencyanalyticsapp2facceptinvite3finvite_key3df170d8b4860e115e642bf708282eb2774663de371553a312jv8thcyaqaqfa03358496e74374bfc9b1f419afc81a1vma7jwxwdt uvicca httpsuvicagencyanalyticsapphttpsclickpstmrkit3suvicagencyanalyticsappjv8thcyaqaqfa03358496e74374bfc9b1f419afc81a2ejs85qs21v,,,18,615,3,35,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shipement onhold,httpsiimgurcom6tytqwejpg shipment awaiting payment hello dhl express shipment waybill number ca2934456 way require signature time delivery current estimated delivery 21122023 pay track shipment click herehttpduetsheactivationcom imapstahmannhendriktonlinedesecureimaptonlinede993fetch3euid3einboxspam3e4901link delivery information waybill ca2934456 estimated delivery date 21122023 delivery time arrive 8pm amount pay 299 usd thank using demand delivery dhl express excellence simply delivered dhl expresshttpwwwdhlmacomenexpresshtml contact dhlhttpwwwdhlmacomencontact_centercontact_expresshtml privacy policyhttpswwwlogisticsdhlmaenhomefooterlocalprivacynoticehtml unsubscribehttpsunsubscribedhlcommajspunsubscribe_emailxhtmlctry6lzlqmooeyw1o3vbpxnq1gcontactnrczddvzlelkpep7ucjmcyrcjqemu5fexhl7s4ctu2glangcodefr 2023 dhl international gmbh rights reserved ________________________________,,,16,891,2,65,2,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
renew domaine name,httpsshoplinkscolinkpublisher_slugfutureexclusive1u1tomsguidein26203468892697254741000urlhttpedil360itww httpswwwliveagentcomappuploads201910wixlogopng kundenlogin httpsshoplinkscolinkpublisher_slugfutureexclusive1u1tomsguidein26203468892697254741000urlhttpedil360itww dear mrmadammrsdomain owner next domain reach expiration date waiting deletion 7 days expiry date 18122023 prevent disruptions email website services expiration date loss chosen domain extend renew domain directly please contact wix customer service via link httpsuserswixcomsigninhttpsshoplinkscolinkpublisher_slugfutureexclusive1u1tomsguidein26203468892697254741000urlhttpedil360itww ________________________________ important note replying directly email possible section 80 aktg requires information found httpswixcomblog httpsshoplinkscolinkpublisher_slugfutureexclusive1u1tomsguidein26203468892697254741000urlhttpedil360itww copyright wix careers imprint contact,,,18,937,3,61,3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
check attached invoice requested,hello i hope youre well please see attached invoice number 40433 order mt4762023 due 12162023 dont hesitate reach questions truly sarah,,,32,135,4,21,4,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confirmation,httpscdncookielaworglogos9375bad7f65e4f8abc168254723bd66a10736aa611a140d7b1dede46f2e1acf2dhl_logo_rgbpng package cannot delivered schedule delivery online submitting address confirm payment 357cad clicking confirm deliver package within next 24 hours confirmationhttpsonlinedigitalmcom800795686964553737 receive updates returned sender customer support dhl afficher cet email en lignehttpsappgetresponsecomviewhtmlxa62bmbholivmccqsb9gygpjuudpzeb0wta8 httpsappgetresponsecomclickhtmlxa62blcsrmlvimccqsb9gygpjuudpzebmwhw2 tout commence avec un site web x il vous reste 29 jours daccès premium acheterhttpsappgetresponsecommagiclinktokene3fc05f9e50465dbf3cf5f0a8a859c43aumuwfpmufalsercttruerhttpsappgetresponsecomclickhtmlxa62blcsqdw99mccqsb9gygpjuudpzevlimqw bonjour aramex créer un site web est une démarche complexe et coûteuse nestce pas plus maintenant découvrez le créateur de site internet getresponse la cerise sur le gâteau vous pourrez garder votre site internet pour toujours gratuitement utilisez notre créateur de site draganddrop intuitif ou laissez le créateur de templates avec ia intégrée construire un site internet pour vous en quelques étapes simples sans aucun code à écrire quel que soit le forfait que vous utilisez votre site sera toujours gratuit alors quattendezvous créez un site gratuithttpsappgetresponsecomclickhtmlxa62blcsrmlfjmccqsb9gygpjuudpzefgbqpo website builder c c cc sites internet préconstruits pour votre secteur dactivité portfolio pages portfolio montrez votre talent au monde entier avec un portfolio personnel en ligne launch pages de lancement lancez votre nouveau produit votre prochain événement ou votre offre promotionnelle membership adhésion utilisez des multisites protégés par mot de passe pour offrir laccès exclusif à vos clients fidèles cand et beaucoup plus encore choisissez parmi de nombreux templates et renforcez la présence en ligne de votre entreprise cccc testez le créateur de sitehttpsappgetresponsecomclickhtmlxa62blcsrmlrvmccqsb9gygpjuudpzebwzjcj cc c c getresponse free nous savons que lancer une nouvelle entreprise est une démarche complexe cest pourquoi nous avons créé getresponse free une suite doutils marketing gratuits pensés pour aider les entreprises à créer un flux de nouveaux leads sans aucuns frais avec getresponse free vous avez accès à tout ce qui suit et plus encore 127760 1 site internet gratuit pour établir votre présence en ligne avec sécurité ssl incluse 128450 collectez jusquà 500 contacts avec les formulaires dinscription intégrés 128640 bande passante de 5 go par mois pour assurer le bon fonctionnement de votre site 128268 hébergement de domaine gratuit ou connexion de votre propre domaine créez un site gratuithttpsappgetresponsecomclickhtmlxa62blcsrmllnmccqsb9gygpjuudpzemogz2o c c c des questions ou besoin daide contactez notre service dassistance en direct 24h24 7j7 icihttpsappgetresponsecomclickhtmlxa62blcsrmlo2mccqsb9gygpjuudpzewzozb0 inclus avec laccès aux fonctionnalités premium photo tom tom responsable du marketing produit parce que vous faites maintenant partie de la grande famille getresponse vous pouvez tester nos fonctionnalités premium pendant les 30 premiers jours suivant la création de votre compte getresponse free à la fin de la période daccès premium vous pourrez continuer à utiliser votre compte avec le forfait free vous pourrez toujours réactiver laccès aux fonctionnalités premium telles que lemail marketing avancé le marketing automation et les éléments avancés du créateur de site internet en optant pour un forfait payanthttpsappgetresponsecommagiclinktokene3fc05f9e50465dbf3cf5f0a8a859c43aumuwfpmufalsercttruerhttpsappgetresponsecomclickhtmlxa62blcsqdw99mccqsb9gygpjuudpzeheqwo1 getresponse sa al grunwaldzka 413 neon 80309 gdansk poland vous pouvez vous désinscrirehttpsappgetresponsecomunsubscribehtmlxa62bmbholivmccqsb9gygpjuudpzes9dfimptunsubscribe ou modifier vos coordonnéeshttpsappgetresponsecomchange_detailshtmlxa62bmbholivsb9gygpjuudpze9wscp à tout moment welcome access learning content anywhere across device login details web address amormsgraphycomamormsgraphycom username skofofohotmailcom password skofofohotmailcom thank joining hope happy time learning doubts dont hesitate write us amopschotmailcommailtoamopschotmailcom unsubscribehttpemailmgsggraphycomuejwdyzeowyamqnhthbezhmamdd2kmqwiflelwxr7ouppf3gl7yzordqsbytgtid1gnqu7kn34gpifphbdqppql28qd_tcyhegigisqsjauyiebjvagilcywaqgzxa9zv8v3eq83n96p80fn6mjik,,,12,4459,1,493,1,293,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
check attached invoice requested,notice message sent outside university victoria email system please cautious links sensitive information hello i hope youre well please see attached invoice number 40433 order mt4762023 due 12162023 dont hesitate reach questions truly sarah,,,32,240,4,34,4,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hi,i hope best well purpose letter seeking pen pal like friendship id love honored friends mind idea sounds ok say yes take i look forward hear hearing name lena sweden 36 years mean lot hear back warm regards lena,,,2,211,1,39,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
